Year,Full Name,FIPS,All Diag Cases,All Diag Rates,Population,Indicator
2016,Mahaska County IA,19123.0,,,,HIV diagnoses
2015,Mahaska County IA,19123.0,,,,HIV diagnoses
2014,Mahaska County IA,19123.0,0,0,18536,HIV diagnoses
2013,Mahaska County IA,19123.0,,,,HIV diagnoses
2012,Mahaska County IA,19123.0,0,0,18549,HIV diagnoses
2011,Mahaska County IA,19123.0,0,0,18538,HIV diagnoses
2010,Mahaska County IA,19123.0,0,0,18471,HIV diagnoses
2009,Mahaska County IA,19123.0,0,0,18254,HIV diagnoses
2008,Mahaska County IA,19123.0,,,,HIV diagnoses
2018,Mahnomen County MN,27087.0,0,0,4198,HIV diagnoses
2017,Mahnomen County MN,27087.0,0,0,4239,HIV diagnoses
2016,Mahnomen County MN,27087.0,0,0,4180,HIV diagnoses
2015,Mahnomen County MN,27087.0,0,0,4174,HIV diagnoses
2014,Mahnomen County MN,27087.0,0,0,4222,HIV diagnoses
2013,Mahnomen County MN,27087.0,0,0,4248,HIV diagnoses
2012,Mahnomen County MN,27087.0,0,0,4264,HIV diagnoses
2011,Mahnomen County MN,27087.0,0,0,4221,HIV diagnoses
2010,Mahnomen County MN,27087.0,0,0,4235,HIV diagnoses
2009,Mahnomen County MN,27087.0,0,0,3944,HIV diagnoses
2008,Mahnomen County MN,27087.0,0,0,3996,HIV diagnoses
2018,Mahoning County OH,39099.0,18,9.1,197332,HIV diagnoses
2017,Mahoning County OH,39099.0,17,8.6,197590,HIV diagnoses
2016,Mahoning County OH,39099.0,19,9.6,197807,HIV diagnoses
2015,Mahoning County OH,39099.0,15,7.5,198976,HIV diagnoses
2014,Mahoning County OH,39099.0,19,9.5,200238,HIV diagnoses
2013,Mahoning County OH,39099.0,18,9,200828,HIV diagnoses
2012,Mahoning County OH,39099.0,22,10.9,201525,HIV diagnoses
2011,Mahoning County OH,39099.0,29,14.3,202472,HIV diagnoses
2010,Mahoning County OH,39099.0,25,12.3,203046,HIV diagnoses
2009,Mahoning County OH,39099.0,26,12.9,201384,HIV diagnoses
2008,Mahoning County OH,39099.0,21,10.4,202770,HIV diagnoses
2018,Major County OK,40093.0,0,0,6250,HIV diagnoses
2017,Major County OK,40093.0,0,0,6257,HIV diagnoses
2016,Major County OK,40093.0,0,0,6287,HIV diagnoses
2015,Major County OK,40093.0,0,0,6322,HIV diagnoses
2014,Major County OK,40093.0,0,0,6331,HIV diagnoses
2013,Major County OK,40093.0,0,0,6295,HIV diagnoses
2012,Major County OK,40093.0,0,0,6324,HIV diagnoses
2011,Major County OK,40093.0,0,0,6314,HIV diagnoses
2010,Major County OK,40093.0,0,0,6259,HIV diagnoses
2009,Major County OK,40093.0,0,0,6012,HIV diagnoses
2008,Major County OK,40093.0,0,0,6002,HIV diagnoses
2018,Malheur County OR,41045.0,,,,HIV diagnoses
2017,Malheur County OR,41045.0,,,,HIV diagnoses
2016,Malheur County OR,41045.0,0,0,24674,HIV diagnoses
2015,Malheur County OR,41045.0,,,,HIV diagnoses
2014,Malheur County OR,41045.0,,,,HIV diagnoses
2013,Malheur County OR,41045.0,,,,HIV diagnoses
2012,Malheur County OR,41045.0,,,,HIV diagnoses
2011,Malheur County OR,41045.0,,,,HIV diagnoses
2010,Malheur County OR,41045.0,,,,HIV diagnoses
2009,Malheur County OR,41045.0,,,,HIV diagnoses
2008,Malheur County OR,41045.0,,,,HIV diagnoses
2018,Manassas City VA,51683.0,,,,HIV diagnoses
2017,Manassas City VA,51683.0,,,,HIV diagnoses
2016,Manassas City VA,51683.0,,,,HIV diagnoses
2015,Manassas City VA,51683.0,7,21.1,33178,HIV diagnoses
2014,Manassas City VA,51683.0,,,,HIV diagnoses
2013,Manassas City VA,51683.0,,,,HIV diagnoses
2012,Manassas City VA,51683.0,,,,HIV diagnoses
2011,Manassas City VA,51683.0,,,,HIV diagnoses
2010,Manassas City VA,51683.0,,,,HIV diagnoses
2009,Manassas City VA,51683.0,6,21,28597,HIV diagnoses
2008,Manassas City VA,51683.0,5,18.5,27094,HIV diagnoses
2018,Manassas Park City VA,51685.0,,,,HIV diagnoses
2017,Manassas Park City VA,51685.0,0,0,13875,HIV diagnoses
2016,Manassas Park City VA,51685.0,,,,HIV diagnoses
2015,Manassas Park City VA,51685.0,,,,HIV diagnoses
2014,Manassas Park City VA,51685.0,0,0,12602,HIV diagnoses
2013,Manassas Park City VA,51685.0,0,0,12593,HIV diagnoses
2012,Manassas Park City VA,51685.0,,,,HIV diagnoses
2011,Manassas Park City VA,51685.0,0,0,11848,HIV diagnoses
2010,Manassas Park City VA,51685.0,,,,HIV diagnoses
2009,Manassas Park City VA,51685.0,,,,HIV diagnoses
2008,Manassas Park City VA,51685.0,0,0,8675,HIV diagnoses
2018,Manatee County FL,12081.0,39,11.3,343908,HIV diagnoses
2017,Manatee County FL,12081.0,45,13.4,334714,HIV diagnoses
2016,Manatee County FL,12081.0,30,9.2,324846,HIV diagnoses
2015,Manatee County FL,12081.0,35,11.2,313165,HIV diagnoses
2014,Manatee County FL,12081.0,55,18.2,302562,HIV diagnoses
2013,Manatee County FL,12081.0,29,9.9,293821,HIV diagnoses
2012,Manatee County FL,12081.0,38,13.3,286171,HIV diagnoses
2011,Manatee County FL,12081.0,38,13.6,280094,HIV diagnoses
2010,Manatee County FL,12081.0,41,14.9,276058,HIV diagnoses
2009,Manatee County FL,12081.0,45,16.7,269818,HIV diagnoses
2008,Manatee County FL,12081.0,43,16,268046,HIV diagnoses
2018,Manistee County MI,26101.0,0,0,21650,HIV diagnoses
2017,Manistee County MI,26101.0,0,0,21524,HIV diagnoses
2016,Manistee County MI,26101.0,,,,HIV diagnoses
2015,Manistee County MI,26101.0,0,0,21522,HIV diagnoses
2014,Manistee County MI,26101.0,,,,HIV diagnoses
2013,Manistee County MI,26101.0,0,0,21495,HIV diagnoses
2012,Manistee County MI,26101.0,0,0,21568,HIV diagnoses
2011,Manistee County MI,26101.0,0,0,21575,HIV diagnoses
2010,Manistee County MI,26101.0,,,,HIV diagnoses
2009,Manistee County MI,26101.0,0,0,21136,HIV diagnoses
2008,Manistee County MI,26101.0,0,0,21289,HIV diagnoses
2018,Manitowoc County WI,55071.0,0,0,67759,HIV diagnoses
2017,Manitowoc County WI,55071.0,,,,HIV diagnoses
2016,Manitowoc County WI,55071.0,0,0,67794,HIV diagnoses
2015,Manitowoc County WI,55071.0,0,0,67841,HIV diagnoses
2014,Manitowoc County WI,55071.0,0,0,68161,HIV diagnoses
2013,Manitowoc County WI,55071.0,0,0,68483,HIV diagnoses
2012,Manitowoc County WI,55071.0,,,,HIV diagnoses
2011,Manitowoc County WI,55071.0,,,,HIV diagnoses
2010,Manitowoc County WI,55071.0,,,,HIV diagnoses
2009,Manitowoc County WI,55071.0,,,,HIV diagnoses
2008,Manitowoc County WI,55071.0,0,0,68386,HIV diagnoses
2018,Marathon County WI,55073.0,,,,HIV diagnoses
2017,Marathon County WI,55073.0,,,,HIV diagnoses
2016,Marathon County WI,55073.0,,,,HIV diagnoses
2015,Marathon County WI,55073.0,,,,HIV diagnoses
2014,Marathon County WI,55073.0,,,,HIV diagnoses
2013,Marathon County WI,55073.0,,,,HIV diagnoses
2012,Marathon County WI,55073.0,,,,HIV diagnoses
2011,Marathon County WI,55073.0,,,,HIV diagnoses
2010,Marathon County WI,55073.0,,,,HIV diagnoses
2009,Marathon County WI,55073.0,,,,HIV diagnoses
2008,Marathon County WI,55073.0,,,,HIV diagnoses
2018,Marengo County AL,1091.0,,,,HIV diagnoses
2017,Marengo County AL,1091.0,,,,HIV diagnoses
2016,Marengo County AL,1091.0,,,,HIV diagnoses
2015,Marengo County AL,1091.0,,,,HIV diagnoses
2014,Marengo County AL,1091.0,0,0,16766,HIV diagnoses
2013,Marengo County AL,1091.0,,,,HIV diagnoses
2012,Marengo County AL,1091.0,0,0,17008,HIV diagnoses
2011,Marengo County AL,1091.0,,,,HIV diagnoses
2010,Marengo County AL,1091.0,,,,HIV diagnoses
2009,Marengo County AL,1091.0,,,,HIV diagnoses
2008,Marengo County AL,1091.0,,,,HIV diagnoses
2018,Maricopa County AZ,4013.0,566,15.5,3657871,HIV diagnoses
2017,Maricopa County AZ,4013.0,494,13.8,3577826,HIV diagnoses
2016,Maricopa County AZ,4013.0,519,14.8,3507838,HIV diagnoses
2015,Maricopa County AZ,4013.0,503,14.7,3430120,HIV diagnoses
2014,Maricopa County AZ,4013.0,550,16.4,3356371,HIV diagnoses
2013,Maricopa County AZ,4013.0,469,14.3,3283440,HIV diagnoses
2012,Maricopa County AZ,4013.0,471,14.6,3215962,HIV diagnoses
2011,Maricopa County AZ,4013.0,411,13.1,3147784,HIV diagnoses
2010,Maricopa County AZ,4013.0,413,13.3,3094050,HIV diagnoses
2009,Maricopa County AZ,4013.0,444,13.8,3206005,HIV diagnoses
2008,Maricopa County AZ,4013.0,497,15.8,3151081,HIV diagnoses
2018,Maries County MO,29125.0,0,0,7563,HIV diagnoses
2017,Maries County MO,29125.0,,,,HIV diagnoses
2016,Maries County MO,29125.0,,,,HIV diagnoses
2015,Maries County MO,29125.0,0,0,7621,HIV diagnoses
2014,Maries County MO,29125.0,0,0,7682,HIV diagnoses
2013,Maries County MO,29125.0,0,0,7660,HIV diagnoses
2012,Maries County MO,29125.0,0,0,7612,HIV diagnoses
2011,Maries County MO,29125.0,0,0,7676,HIV diagnoses
2010,Maries County MO,29125.0,0,0,7660,HIV diagnoses
2009,Maries County MO,29125.0,0,0,7422,HIV diagnoses
2008,Maries County MO,29125.0,0,0,7482,HIV diagnoses
2018,Marin County CA,6041.0,21,9.4,224215,HIV diagnoses
2017,Marin County CA,6041.0,16,7.2,223363,HIV diagnoses
2016,Marin County CA,6041.0,28,12.5,223356,HIV diagnoses
2015,Marin County CA,6041.0,24,10.8,223187,HIV diagnoses
2014,Marin County CA,6041.0,25,11.2,222327,HIV diagnoses
2013,Marin County CA,6041.0,13,5.9,220359,HIV diagnoses
2012,Marin County CA,6041.0,11,5,218014,HIV diagnoses
2011,Marin County CA,6041.0,23,10.6,217259,HIV diagnoses
2010,Marin County CA,6041.0,30,13.9,215094,HIV diagnoses
2009,Marin County CA,6041.0,25,11.7,213986,HIV diagnoses
2008,Marin County CA,6041.0,49,23.1,212101,HIV diagnoses
2018,Marinette County WI,55075.0,0,0,35049,HIV diagnoses
2017,Marinette County WI,55075.0,,,,HIV diagnoses
2016,Marinette County WI,55075.0,,,,HIV diagnoses
2015,Marinette County WI,55075.0,0,0,35216,HIV diagnoses
2014,Marinette County WI,55075.0,0,0,35489,HIV diagnoses
2013,Marinette County WI,55075.0,,,,HIV diagnoses
2012,Marinette County WI,55075.0,0,0,35624,HIV diagnoses
2011,Marinette County WI,55075.0,0,0,35670,HIV diagnoses
2010,Marinette County WI,55075.0,,,,HIV diagnoses
2009,Marinette County WI,55075.0,0,0,36121,HIV diagnoses
2008,Marinette County WI,55075.0,0,0,36285,HIV diagnoses
2018,Marion County TN,47115.0,,,,HIV diagnoses
2017,Marion County TN,47115.0,,,,HIV diagnoses
2016,Marion County TN,47115.0,0,0,24070,HIV diagnoses
2015,Marion County TN,47115.0,,,,HIV diagnoses
2014,Marion County TN,47115.0,0,0,24111,HIV diagnoses
2013,Marion County TN,47115.0,0,0,24047,HIV diagnoses
2012,Marion County TN,47115.0,,,,HIV diagnoses
2011,Marion County TN,47115.0,,,,HIV diagnoses
2010,Marion County TN,47115.0,,,,HIV diagnoses
2009,Marion County TN,47115.0,,,,HIV diagnoses
2008,Marion County TN,47115.0,,,,HIV diagnoses
2018,Marion County SC,45067.0,6,23.1,25999,HIV diagnoses
2017,Marion County SC,45067.0,6,23,26098,HIV diagnoses
2016,Marion County SC,45067.0,5,18.9,26416,HIV diagnoses
2015,Marion County SC,45067.0,,,,HIV diagnoses
2014,Marion County SC,45067.0,,,,HIV diagnoses
2013,Marion County SC,45067.0,,,,HIV diagnoses
2012,Marion County SC,45067.0,,,,HIV diagnoses
2011,Marion County SC,45067.0,10,36.9,27130,HIV diagnoses
2010,Marion County SC,45067.0,6,22,27243,HIV diagnoses
2009,Marion County SC,45067.0,10,36.3,27511,HIV diagnoses
2008,Marion County SC,45067.0,8,28.7,27887,HIV diagnoses
2018,Marion County MO,29127.0,,,,HIV diagnoses
2017,Marion County MO,29127.0,,,,HIV diagnoses
2016,Marion County MO,29127.0,,,,HIV diagnoses
2015,Marion County MO,29127.0,,,,HIV diagnoses
2014,Marion County MO,29127.0,,,,HIV diagnoses
2013,Marion County MO,29127.0,,,,HIV diagnoses
2012,Marion County MO,29127.0,0,0,23797,HIV diagnoses
2011,Marion County MO,29127.0,,,,HIV diagnoses
2010,Marion County MO,29127.0,,,,HIV diagnoses
2009,Marion County MO,29127.0,0,0,23268,HIV diagnoses
2008,Marion County MO,29127.0,0,0,23150,HIV diagnoses
2018,Marion County MS,28091.0,,,,HIV diagnoses
2017,Marion County MS,28091.0,5,24,20860,HIV diagnoses
2016,Marion County MS,28091.0,,,,HIV diagnoses
2015,Marion County MS,28091.0,,,,HIV diagnoses
2014,Marion County MS,28091.0,,,,HIV diagnoses
2013,Marion County MS,28091.0,,,,HIV diagnoses
2012,Marion County MS,28091.0,,,,HIV diagnoses
2011,Marion County MS,28091.0,,,,HIV diagnoses
2010,Marion County MS,28091.0,,,,HIV diagnoses
2009,Marion County MS,28091.0,5,24.3,20608,HIV diagnoses
2008,Marion County MS,28091.0,5,24.1,20722,HIV diagnoses
2018,Marion County TX,48315.0,,,,HIV diagnoses
2017,Marion County TX,48315.0,,,,HIV diagnoses
2016,Marion County TX,48315.0,,,,HIV diagnoses
2015,Marion County TX,48315.0,0,0,8822,HIV diagnoses
2014,Marion County TX,48315.0,,,,HIV diagnoses
2013,Marion County TX,48315.0,0,0,8952,HIV diagnoses
2012,Marion County TX,48315.0,0,0,9001,HIV diagnoses
2011,Marion County TX,48315.0,,,,HIV diagnoses
2010,Marion County TX,48315.0,,,,HIV diagnoses
2009,Marion County TX,48315.0,,,,HIV diagnoses
2008,Marion County TX,48315.0,,,,HIV diagnoses
2018,Marion County IA,19125.0,0,0,27876,HIV diagnoses
2017,Marion County IA,19125.0,,,,HIV diagnoses
2016,Marion County IA,19125.0,,,,HIV diagnoses
2015,Marion County IA,19125.0,,,,HIV diagnoses
2014,Marion County IA,19125.0,,,,HIV diagnoses
2013,Marion County IA,19125.0,,,,HIV diagnoses
2012,Marion County IA,19125.0,,,,HIV diagnoses
2011,Marion County IA,19125.0,0,0,27408,HIV diagnoses
2010,Marion County IA,19125.0,0,0,27350,HIV diagnoses
2009,Marion County IA,19125.0,,,,HIV diagnoses
2008,Marion County IA,19125.0,0,0,27153,HIV diagnoses
2018,Marion County IN,18097.0,205,26.2,780995,HIV diagnoses
2017,Marion County IN,18097.0,227,29.3,775374,HIV diagnoses
2016,Marion County IN,18097.0,198,25.7,770692,HIV diagnoses
2015,Marion County IN,18097.0,189,24.7,766607,HIV diagnoses
2014,Marion County IN,18097.0,222,29.1,763528,HIV diagnoses
2013,Marion County IN,18097.0,219,28.9,757878,HIV diagnoses
2012,Marion County IN,18097.0,200,26.7,749616,HIV diagnoses
2011,Marion County IN,18097.0,197,26.5,742508,HIV diagnoses
2010,Marion County IN,18097.0,210,28.5,737733,HIV diagnoses
2009,Marion County IN,18097.0,195,27.1,720474,HIV diagnoses
2008,Marion County IN,18097.0,208,29.1,714559,HIV diagnoses
2018,Marion County IL,17121.0,,,,HIV diagnoses
2017,Marion County IL,17121.0,,,,HIV diagnoses
2016,Marion County IL,17121.0,,,,HIV diagnoses
2015,Marion County IL,17121.0,,,,HIV diagnoses
2014,Marion County IL,17121.0,,,,HIV diagnoses
2013,Marion County IL,17121.0,,,,HIV diagnoses
2012,Marion County IL,17121.0,,,,HIV diagnoses
2011,Marion County IL,17121.0,,,,HIV diagnoses
2010,Marion County IL,17121.0,,,,HIV diagnoses
2009,Marion County IL,17121.0,0,0,32533,HIV diagnoses
2008,Marion County IL,17121.0,0,0,32863,HIV diagnoses
2018,Marion County OR,41047.0,22,7.7,284968,HIV diagnoses
2017,Marion County OR,41047.0,13,4.6,279779,HIV diagnoses
2016,Marion County OR,41047.0,11,4,274893,HIV diagnoses
2015,Marion County OR,41047.0,21,7.8,269168,HIV diagnoses
2014,Marion County OR,41047.0,19,7.2,264766,HIV diagnoses
2013,Marion County OR,41047.0,12,4.6,261833,HIV diagnoses
2012,Marion County OR,41047.0,18,6.9,259956,HIV diagnoses
2011,Marion County OR,41047.0,13,5,257744,HIV diagnoses
2010,Marion County OR,41047.0,19,7.4,255580,HIV diagnoses
2009,Marion County OR,41047.0,20,7.8,255780,HIV diagnoses
2008,Marion County OR,41047.0,23,9.1,252338,HIV diagnoses
2018,Marion County OH,39101.0,,,,HIV diagnoses
2017,Marion County OH,39101.0,,,,HIV diagnoses
2016,Marion County OH,39101.0,,,,HIV diagnoses
2015,Marion County OH,39101.0,,,,HIV diagnoses
2014,Marion County OH,39101.0,,,,HIV diagnoses
2013,Marion County OH,39101.0,6,10.7,56108,HIV diagnoses
2012,Marion County OH,39101.0,5,8.9,56327,HIV diagnoses
2011,Marion County OH,39101.0,,,,HIV diagnoses
2010,Marion County OH,39101.0,,,,HIV diagnoses
2009,Marion County OH,39101.0,,,,HIV diagnoses
2008,Marion County OH,39101.0,,,,HIV diagnoses
2018,Marion County WV,54049.0,,,,HIV diagnoses
2017,Marion County WV,54049.0,0,0,48131,HIV diagnoses
2016,Marion County WV,54049.0,0,0,48264,HIV diagnoses
2015,Marion County WV,54049.0,0,0,48479,HIV diagnoses
2014,Marion County WV,54049.0,0,0,48529,HIV diagnoses
2013,Marion County WV,54049.0,,,,HIV diagnoses
2012,Marion County WV,54049.0,0,0,48565,HIV diagnoses
2011,Marion County WV,54049.0,,,,HIV diagnoses
2010,Marion County WV,54049.0,,,,HIV diagnoses
2009,Marion County WV,54049.0,,,,HIV diagnoses
2008,Marion County WV,54049.0,,,,HIV diagnoses
2018,Marion County KY,21155.0,,,,HIV diagnoses
2017,Marion County KY,21155.0,,,,HIV diagnoses
2016,Marion County KY,21155.0,,,,HIV diagnoses
2015,Marion County KY,21155.0,,,,HIV diagnoses
2014,Marion County KY,21155.0,,,,HIV diagnoses
2013,Marion County KY,21155.0,,,,HIV diagnoses
2012,Marion County KY,21155.0,,,,HIV diagnoses
2011,Marion County KY,21155.0,,,,HIV diagnoses
2010,Marion County KY,21155.0,,,,HIV diagnoses
2009,Marion County KY,21155.0,,,,HIV diagnoses
2008,Marion County KY,21155.0,,,,HIV diagnoses
2018,Marion County KS,20115.0,0,0,10167,HIV diagnoses
2017,Marion County KS,20115.0,0,0,10175,HIV diagnoses
2016,Marion County KS,20115.0,0,0,10188,HIV diagnoses
2015,Marion County KS,20115.0,0,0,10234,HIV diagnoses
2014,Marion County KS,20115.0,0,0,10325,HIV diagnoses
2013,Marion County KS,20115.0,,,,HIV diagnoses
2012,Marion County KS,20115.0,0,0,10488,HIV diagnoses
2011,Marion County KS,20115.0,0,0,10600,HIV diagnoses
2010,Marion County KS,20115.0,0,0,10705,HIV diagnoses
2009,Marion County KS,20115.0,0,0,10182,HIV diagnoses
2008,Marion County KS,20115.0,0,0,10267,HIV diagnoses
2018,Marion County GA,13197.0,,,,HIV diagnoses
2017,Marion County GA,13197.0,0,0,7172,HIV diagnoses
2016,Marion County GA,13197.0,0,0,7177,HIV diagnoses
2015,Marion County GA,13197.0,,,,HIV diagnoses
2014,Marion County GA,13197.0,0,0,7267,HIV diagnoses
2013,Marion County GA,13197.0,,,,HIV diagnoses
2012,Marion County GA,13197.0,,,,HIV diagnoses
2011,Marion County GA,13197.0,,,,HIV diagnoses
2010,Marion County GA,13197.0,,,,HIV diagnoses
2009,Marion County GA,13197.0,,,,HIV diagnoses
2008,Marion County GA,13197.0,,,,HIV diagnoses
2018,Marion County FL,12083.0,43,13.8,312158,HIV diagnoses
2017,Marion County FL,12083.0,44,14.4,306332,HIV diagnoses
2016,Marion County FL,12083.0,43,14.3,301112,HIV diagnoses
2015,Marion County FL,12083.0,44,14.8,296607,HIV diagnoses
2014,Marion County FL,12083.0,38,13,293019,HIV diagnoses
2013,Marion County FL,12083.0,39,13.4,290416,HIV diagnoses
2012,Marion County FL,12083.0,39,13.5,289091,HIV diagnoses
2011,Marion County FL,12083.0,47,16.3,287523,HIV diagnoses
2010,Marion County FL,12083.0,41,14.3,286237,HIV diagnoses
2009,Marion County FL,12083.0,42,14.9,281642,HIV diagnoses
2008,Marion County FL,12083.0,60,21.4,280441,HIV diagnoses
2018,Marion County AR,5089.0,0,0,14478,HIV diagnoses
2017,Marion County AR,5089.0,0,0,14301,HIV diagnoses
2016,Marion County AR,5089.0,,,,HIV diagnoses
2015,Marion County AR,5089.0,0,0,14187,HIV diagnoses
2014,Marion County AR,5089.0,,,,HIV diagnoses
2013,Marion County AR,5089.0,,,,HIV diagnoses
2012,Marion County AR,5089.0,,,,HIV diagnoses
2011,Marion County AR,5089.0,0,0,14646,HIV diagnoses
2010,Marion County AR,5089.0,0,0,14630,HIV diagnoses
2009,Marion County AR,5089.0,0,0,14561,HIV diagnoses
2008,Marion County AR,5089.0,,,,HIV diagnoses
2018,Marion County AL,1093.0,,,,HIV diagnoses
2017,Marion County AL,1093.0,0,0,25465,HIV diagnoses
2016,Marion County AL,1093.0,,,,HIV diagnoses
2015,Marion County AL,1093.0,0,0,25742,HIV diagnoses
2014,Marion County AL,1093.0,0,0,25795,HIV diagnoses
2013,Marion County AL,1093.0,0,0,25730,HIV diagnoses
2012,Marion County AL,1093.0,,,,HIV diagnoses
2011,Marion County AL,1093.0,0,0,26019,HIV diagnoses
2010,Marion County AL,1093.0,,,,HIV diagnoses
2009,Marion County AL,1093.0,,,,HIV diagnoses
2008,Marion County AL,1093.0,0,0,24778,HIV diagnoses
2018,Mariposa County CA,6043.0,,,,HIV diagnoses
2017,Mariposa County CA,6043.0,,,,HIV diagnoses
2016,Mariposa County CA,6043.0,,,,HIV diagnoses
2015,Mariposa County CA,6043.0,0,0,15625,HIV diagnoses
2014,Mariposa County CA,6043.0,0,0,15682,HIV diagnoses
2013,Mariposa County CA,6043.0,0,0,15763,HIV diagnoses
2012,Mariposa County CA,6043.0,,,,HIV diagnoses
2011,Mariposa County CA,6043.0,0,0,16001,HIV diagnoses
2010,Mariposa County CA,6043.0,,,,HIV diagnoses
2009,Mariposa County CA,6043.0,0,0,15685,HIV diagnoses
2008,Mariposa County CA,6043.0,,,,HIV diagnoses
2018,Marlboro County SC,45069.0,,,,HIV diagnoses
2017,Marlboro County SC,45069.0,5,21.9,22877,HIV diagnoses
2016,Marlboro County SC,45069.0,7,30.3,23097,HIV diagnoses
2015,Marlboro County SC,45069.0,,,,HIV diagnoses
2014,Marlboro County SC,45069.0,,,,HIV diagnoses
2013,Marlboro County SC,45069.0,,,,HIV diagnoses
2012,Marlboro County SC,45069.0,7,29,24099,HIV diagnoses
2011,Marlboro County SC,45069.0,7,28.8,24322,HIV diagnoses
2010,Marlboro County SC,45069.0,5,20.4,24536,HIV diagnoses
2009,Marlboro County SC,45069.0,5,20.5,24341,HIV diagnoses
2008,Marlboro County SC,45069.0,,,,HIV diagnoses
2018,Marquette County MI,26103.0,0,0,57891,HIV diagnoses
2017,Marquette County MI,26103.0,,,,HIV diagnoses
2016,Marquette County MI,26103.0,0,0,57849,HIV diagnoses
2015,Marquette County MI,26103.0,,,,HIV diagnoses
2014,Marquette County MI,26103.0,0,0,58979,HIV diagnoses
2013,Marquette County MI,26103.0,0,0,58998,HIV diagnoses
2018,Marquette County WI,55077.0,0,0,13328,HIV diagnoses
2017,Marquette County WI,55077.0,0,0,13169,HIV diagnoses
2016,Marquette County WI,55077.0,0,0,13008,HIV diagnoses
2015,Marquette County WI,55077.0,0,0,13016,HIV diagnoses
2014,Marquette County WI,55077.0,0,0,12995,HIV diagnoses
2013,Marquette County WI,55077.0,,,,HIV diagnoses
2012,Marquette County WI,55077.0,0,0,13113,HIV diagnoses
2011,Marquette County WI,55077.0,0,0,13178,HIV diagnoses
2010,Marquette County WI,55077.0,0,0,13229,HIV diagnoses
2009,Marquette County WI,55077.0,0,0,12604,HIV diagnoses
2008,Marquette County WI,55077.0,0,0,12745,HIV diagnoses
2012,Marquette County MI,26103.0,,,,HIV diagnoses
2011,Marquette County MI,26103.0,,,,HIV diagnoses
2010,Marquette County MI,26103.0,0,0,58242,HIV diagnoses
2009,Marquette County MI,26103.0,0,0,57353,HIV diagnoses
2008,Marquette County MI,26103.0,,,,HIV diagnoses
2018,Marshall County TN,47117.0,,,,HIV diagnoses
2017,Marshall County TN,47117.0,,,,HIV diagnoses
2016,Marshall County TN,47117.0,0,0,26718,HIV diagnoses
2015,Marshall County TN,47117.0,,,,HIV diagnoses
2014,Marshall County TN,47117.0,,,,HIV diagnoses
2013,Marshall County TN,47117.0,,,,HIV diagnoses
2012,Marshall County TN,47117.0,,,,HIV diagnoses
2011,Marshall County TN,47117.0,0,0,25494,HIV diagnoses
2010,Marshall County TN,47117.0,0,0,25274,HIV diagnoses
2009,Marshall County TN,47117.0,,,,HIV diagnoses
2008,Marshall County TN,47117.0,,,,HIV diagnoses
2018,Marshall County SD,46091.0,,,,HIV diagnoses
2017,Marshall County SD,46091.0,,,,HIV diagnoses
2016,Marshall County SD,46091.0,,,,HIV diagnoses
2015,Marshall County SD,46091.0,,,,HIV diagnoses
2014,Marshall County SD,46091.0,0,0,3990,HIV diagnoses
2013,Marshall County SD,46091.0,0,0,4033,HIV diagnoses
2012,Marshall County SD,46091.0,0,0,3971,HIV diagnoses
2011,Marshall County SD,46091.0,0,0,3923,HIV diagnoses
2010,Marshall County SD,46091.0,,,,HIV diagnoses
2009,Marshall County SD,46091.0,0,0,3510,HIV diagnoses
2008,Marshall County SD,46091.0,0,0,3565,HIV diagnoses
2018,Marshall County MS,28093.0,5,16.6,30147,HIV diagnoses
2017,Marshall County MS,28093.0,5,16.6,30181,HIV diagnoses
2016,Marshall County MS,28093.0,,,,HIV diagnoses
2015,Marshall County MS,28093.0,,,,HIV diagnoses
2014,Marshall County MS,28093.0,5,16.4,30424,HIV diagnoses
2013,Marshall County MS,28093.0,,,,HIV diagnoses
2012,Marshall County MS,28093.0,,,,HIV diagnoses
2011,Marshall County MS,28093.0,,,,HIV diagnoses
2010,Marshall County MS,28093.0,,,,HIV diagnoses
2009,Marshall County MS,28093.0,,,,HIV diagnoses
2008,Marshall County MS,28093.0,,,,HIV diagnoses
2018,Marshall County MN,27089.0,0,0,7839,HIV diagnoses
2017,Marshall County MN,27089.0,,,,HIV diagnoses
2016,Marshall County MN,27089.0,0,0,7827,HIV diagnoses
2015,Marshall County MN,27089.0,0,0,7870,HIV diagnoses
2014,Marshall County MN,27089.0,0,0,7883,HIV diagnoses
2013,Marshall County MN,27089.0,0,0,7904,HIV diagnoses
2012,Marshall County MN,27089.0,0,0,7914,HIV diagnoses
2011,Marshall County MN,27089.0,,,,HIV diagnoses
2010,Marshall County MN,27089.0,0,0,7889,HIV diagnoses
2009,Marshall County MN,27089.0,0,0,7715,HIV diagnoses
2008,Marshall County MN,27089.0,0,0,7834,HIV diagnoses
2018,Marshall County IA,19127.0,,,,HIV diagnoses
2017,Marshall County IA,19127.0,,,,HIV diagnoses
2016,Marshall County IA,19127.0,,,,HIV diagnoses
2015,Marshall County IA,19127.0,,,,HIV diagnoses
2014,Marshall County IA,19127.0,0,0,33213,HIV diagnoses
2013,Marshall County IA,19127.0,0,0,33433,HIV diagnoses
2012,Marshall County IA,19127.0,,,,HIV diagnoses
2011,Marshall County IA,19127.0,,,,HIV diagnoses
2010,Marshall County IA,19127.0,0,0,33316,HIV diagnoses
2009,Marshall County IA,19127.0,,,,HIV diagnoses
