Year,Geography,FIPS,Cases,Rate per 100000,Population,Indicator
2008,"Montgomery County, VA",51121,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Montgomery County, TX",48339,53,11,"480,184",HIV diagnoses
2017,"Montgomery County, TX",48339,43,9.3,"464,202",HIV diagnoses
2016,"Montgomery County, TX",48339,46,10.2,"450,352",HIV diagnoses
2015,"Montgomery County, TX",48339,41,9.4,"434,099",HIV diagnoses
2014,"Montgomery County, TX",48339,32,7.6,"418,443",HIV diagnoses
2013,"Montgomery County, TX",48339,40,9.9,"402,606",HIV diagnoses
2012,"Montgomery County, TX",48339,28,7.2,"390,272",HIV diagnoses
2011,"Montgomery County, TX",48339,27,7.1,"378,854",HIV diagnoses
2010,"Montgomery County, TX",48339,27,7.3,"368,302",HIV diagnoses
2009,"Montgomery County, TX",48339,32,8.9,"357,823",HIV diagnoses
2008,"Montgomery County, TX",48339,28,8.1,"344,805",HIV diagnoses
2018,"Montgomery County, IA",19137,0,0,"8,398",HIV diagnoses
2017,"Montgomery County, IA",19137,0,0,"8,496",HIV diagnoses
2016,"Montgomery County, IA",19137,0,0,"8,511",HIV diagnoses
2015,"Montgomery County, IA",19137,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Montgomery County, IA",19137,0,0,"8,712",HIV diagnoses
2013,"Montgomery County, IA",19137,0,0,"8,749",HIV diagnoses
2012,"Montgomery County, IA",19137,0,0,"8,841",HIV diagnoses
2011,"Montgomery County, IA",19137,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Montgomery County, IA",19137,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Montgomery County, IA",19137,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Montgomery County, IA",19137,0,0,"9,002",HIV diagnoses
2018,"Montgomery County, IN",18107,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Montgomery County, IN",18107,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Montgomery County, IN",18107,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Montgomery County, IN",18107,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Montgomery County, IN",18107,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Montgomery County, IN",18107,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Montgomery County, IN",18107,0,0,"31,832",HIV diagnoses
2011,"Montgomery County, IN",18107,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Montgomery County, IN",18107,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Montgomery County, IN",18107,0,0,"31,544",HIV diagnoses
2008,"Montgomery County, IN",18107,0,0,"31,486",HIV diagnoses
2018,"Montgomery County, IL",17135,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Montgomery County, IL",17135,0,0,"24,651",HIV diagnoses
2016,"Montgomery County, IL",17135,0,0,"24,878",HIV diagnoses
2015,"Montgomery County, IL",17135,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Montgomery County, IL",17135,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Montgomery County, IL",17135,0,0,"24,989",HIV diagnoses
2012,"Montgomery County, IL",17135,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Montgomery County, IL",17135,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Montgomery County, IL",17135,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Montgomery County, IL",17135,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Montgomery County, IL",17135,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Montgomery County, OH",39113,66,14.7,"447,956",HIV diagnoses
2017,"Montgomery County, OH",39113,62,13.9,"447,009",HIV diagnoses
2016,"Montgomery County, OH",39113,53,11.9,"447,008",HIV diagnoses
2015,"Montgomery County, OH",39113,54,12.1,"446,656",HIV diagnoses
2014,"Montgomery County, OH",39113,58,13,"447,000",HIV diagnoses
2013,"Montgomery County, OH",39113,63,14.1,"448,007",HIV diagnoses
2012,"Montgomery County, OH",39113,63,14.1,"447,580",HIV diagnoses
2011,"Montgomery County, OH",39113,77,17.2,"447,437",HIV diagnoses
2010,"Montgomery County, OH",39113,75,16.7,"447,925",HIV diagnoses
2009,"Montgomery County, OH",39113,53,11.9,"445,503",HIV diagnoses
2008,"Montgomery County, OH",39113,53,11.9,"446,972",HIV diagnoses
2018,"Montgomery County, NC",37123,0,0,"23,156",HIV diagnoses
2017,"Montgomery County, NC",37123,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Montgomery County, NC",37123,0,0,"22,989",HIV diagnoses
2015,"Montgomery County, NC",37123,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Montgomery County, NC",37123,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Montgomery County, NC",37123,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Montgomery County, NC",37123,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Montgomery County, NC",37123,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Montgomery County, NC",37123,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Montgomery County, NC",37123,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Montgomery County, NC",37123,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Montgomery County, NY",36057,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Montgomery County, NY",36057,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Montgomery County, NY",36057,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Montgomery County, NY",36057,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Montgomery County, NY",36057,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Montgomery County, NY",36057,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Montgomery County, NY",36057,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Montgomery County, NY",36057,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Montgomery County, NY",36057,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Montgomery County, NY",36057,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Montgomery County, NY",36057,6,14.7,"40,697",HIV diagnoses
2018,"Montgomery County, MD",24031,129,14.7,"877,210",HIV diagnoses
2017,"Montgomery County, MD",24031,159,18.2,"872,292",HIV diagnoses
2016,"Montgomery County, MD",24031,182,21.1,"864,606",HIV diagnoses
2015,"Montgomery County, MD",24031,177,20.6,"858,924",HIV diagnoses
2014,"Montgomery County, MD",24031,212,24.9,"851,209",HIV diagnoses
2013,"Montgomery County, MD",24031,192,22.8,"843,301",HIV diagnoses
2012,"Montgomery County, MD",24031,195,23.4,"834,163",HIV diagnoses
2011,"Montgomery County, MD",24031,198,24.1,"822,074",HIV diagnoses
2010,"Montgomery County, MD",24031,204,25.2,"808,767",HIV diagnoses
2009,"Montgomery County, MD",24031,204,25.5,"798,556",HIV diagnoses
2008,"Montgomery County, MD",24031,251,32,"784,229",HIV diagnoses
2018,"Montgomery County, KY",21173,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Montgomery County, KY",21173,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Montgomery County, KY",21173,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Montgomery County, KY",21173,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Montgomery County, KY",21173,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Montgomery County, KY",21173,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Montgomery County, KY",21173,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Montgomery County, KY",21173,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Montgomery County, KY",21173,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Montgomery County, KY",21173,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Montgomery County, KY",21173,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Montgomery County, KS",20125,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Montgomery County, KS",20125,0,0,"26,804",HIV diagnoses
2016,"Montgomery County, KS",20125,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Montgomery County, KS",20125,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Montgomery County, KS",20125,0,0,"28,135",HIV diagnoses
2013,"Montgomery County, KS",20125,0,0,"28,414",HIV diagnoses
2012,"Montgomery County, KS",20125,0,0,"28,456",HIV diagnoses
2011,"Montgomery County, KS",20125,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Montgomery County, KS",20125,0,0,"29,248",HIV diagnoses
2009,"Montgomery County, KS",20125,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Montgomery County, KS",20125,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Montgomery County, GA",13209,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Montgomery County, GA",13209,0,0,"7,736",HIV diagnoses
2016,"Montgomery County, GA",13209,0,0,"7,658",HIV diagnoses
2015,"Montgomery County, GA",13209,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Montgomery County, GA",13209,0,0,"7,601",HIV diagnoses
2013,"Montgomery County, GA",13209,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Montgomery County, GA",13209,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Montgomery County, GA",13209,0,0,"7,579",HIV diagnoses
2010,"Montgomery County, GA",13209,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Montgomery County, GA",13209,0,0,"7,399",HIV diagnoses
2008,"Montgomery County, GA",13209,0,0,"7,358",HIV diagnoses
2018,"Montgomery County, AR",5097,0,0,"7,798",HIV diagnoses
2017,"Montgomery County, AR",5097,0,0,"7,770",HIV diagnoses
2016,"Montgomery County, AR",5097,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Montgomery County, AR",5097,0,0,"7,846",HIV diagnoses
2014,"Montgomery County, AR",5097,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Montgomery County, AR",5097,0,0,"8,008",HIV diagnoses
2012,"Montgomery County, AR",5097,0,0,"8,057",HIV diagnoses
2011,"Montgomery County, AR",5097,0,0,"8,089",HIV diagnoses
2010,"Montgomery County, AR",5097,0,0,"8,131",HIV diagnoses
2009,"Montgomery County, AR",5097,0,0,"7,675",HIV diagnoses
2008,"Montgomery County, AR",5097,0,0,"7,738",HIV diagnoses
2018,"Montgomery County, AL",1101,80,42.7,"187,226",HIV diagnoses
2017,"Montgomery County, AL",1101,73,38.8,"188,016",HIV diagnoses
2016,"Montgomery County, AL",1101,92,48.9,"187,970",HIV diagnoses
2015,"Montgomery County, AL",1101,97,51.5,"188,226",HIV diagnoses
2014,"Montgomery County, AL",1101,98,52,"188,383",HIV diagnoses
2013,"Montgomery County, AL",1101,69,36.6,"188,711",HIV diagnoses
2012,"Montgomery County, AL",1101,70,37,"189,157",HIV diagnoses
2011,"Montgomery County, AL",1101,78,41.2,"189,191",HIV diagnoses
2010,"Montgomery County, AL",1101,78,41.2,"189,121",HIV diagnoses
2009,"Montgomery County, AL",1101,86,46.9,"183,242",HIV diagnoses
2008,"Montgomery County, AL",1101,85,46.3,"183,621",HIV diagnoses
2018,"Montmorency County, MI",26119,0,0,"8,322",HIV diagnoses
2017,"Montmorency County, MI",26119,0,0,"8,287",HIV diagnoses
2016,"Montmorency County, MI",26119,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Montmorency County, MI",26119,0,0,"8,355",HIV diagnoses
2014,"Montmorency County, MI",26119,0,0,"8,357",HIV diagnoses
2013,"Montmorency County, MI",26119,0,0,"8,410",HIV diagnoses
2012,"Montmorency County, MI",26119,0,0,"8,486",HIV diagnoses
2011,"Montmorency County, MI",26119,0,0,"8,551",HIV diagnoses
2010,"Montmorency County, MI",26119,0,0,"8,655",HIV diagnoses
2009,"Montmorency County, MI",26119,0,0,"8,976",HIV diagnoses
2008,"Montmorency County, MI",26119,0,0,"9,056",HIV diagnoses
2018,"Montour County, PA",42093,0,0,"15,576",HIV diagnoses
2017,"Montour County, PA",42093,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Montour County, PA",42093,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Montour County, PA",42093,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Montour County, PA",42093,0,0,"15,739",HIV diagnoses
2013,"Montour County, PA",42093,0,0,"15,677",HIV diagnoses
2012,"Montour County, PA",42093,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Montour County, PA",42093,0,0,"15,655",HIV diagnoses
2010,"Montour County, PA",42093,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Montour County, PA",42093,0,0,"15,054",HIV diagnoses
2008,"Montour County, PA",42093,0,0,"15,021",HIV diagnoses
2018,"Montrose County, CO",8085,0,0,"35,723",HIV diagnoses
2017,"Montrose County, CO",8085,0,0,"35,272",HIV diagnoses
2016,"Montrose County, CO",8085,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Montrose County, CO",8085,6,17.6,"34,174",HIV diagnoses
2014,"Montrose County, CO",8085,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Montrose County, CO",8085,0,0,"34,044",HIV diagnoses
2012,"Montrose County, CO",8085,0,0,"33,937",HIV diagnoses
2011,"Montrose County, CO",8085,0,0,"33,942",HIV diagnoses
2010,"Montrose County, CO",8085,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Montrose County, CO",8085,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Montrose County, CO",8085,0,0,"33,167",HIV diagnoses
2018,"Moody County, SD",46101,0,0,"5,329",HIV diagnoses
2017,"Moody County, SD",46101,0,0,"5,294",HIV diagnoses
2016,"Moody County, SD",46101,0,0,"5,276",HIV diagnoses
2015,"Moody County, SD",46101,0,0,"5,233",HIV diagnoses
2014,"Moody County, SD",46101,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Moody County, SD",46101,0,0,"5,288",HIV diagnoses
2012,"Moody County, SD",46101,0,0,"5,311",HIV diagnoses
2011,"Moody County, SD",46101,0,0,"5,284",HIV diagnoses
2010,"Moody County, SD",46101,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Moody County, SD",46101,0,0,"5,255",HIV diagnoses
2008,"Moody County, SD",46101,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Moore County, TN",47127,0,0,"5,594",HIV diagnoses
2017,"Moore County, TN",47127,0,0,"5,531",HIV diagnoses
2016,"Moore County, TN",47127,0,0,"5,452",HIV diagnoses
2015,"Moore County, TN",47127,0,0,"5,423",HIV diagnoses
2014,"Moore County, TN",47127,0,0,"5,441",HIV diagnoses
2013,"Moore County, TN",47127,0,0,"5,388",HIV diagnoses
2012,"Moore County, TN",47127,0,0,"5,407",HIV diagnoses
2011,"Moore County, TN",47127,0,0,"5,426",HIV diagnoses
2010,"Moore County, TN",47127,0,0,"5,381",HIV diagnoses
2009,"Moore County, TN",47127,0,0,"5,223",HIV diagnoses
2008,"Moore County, TN",47127,0,0,"5,226",HIV diagnoses
2018,"Moore County, TX",48341,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Moore County, TX",48341,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Moore County, TX",48341,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Moore County, TX",48341,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Moore County, TX",48341,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Moore County, TX",48341,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Moore County, TX",48341,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Moore County, TX",48341,0,0,"16,886",HIV diagnoses
2010,"Moore County, TX",48341,0,0,"16,863",HIV diagnoses
2009,"Moore County, TX",48341,0,0,"15,482",HIV diagnoses
2008,"Moore County, TX",48341,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Moore County, NC",37125,5,6,"83,517",HIV diagnoses
2017,"Moore County, NC",37125,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Moore County, NC",37125,6,7.4,"80,946",HIV diagnoses
2015,"Moore County, NC",37125,9,11.3,"79,763",HIV diagnoses
2014,"Moore County, NC",37125,12,15.2,"78,774",HIV diagnoses
2013,"Moore County, NC",37125,6,7.8,"77,395",HIV diagnoses
2012,"Moore County, NC",37125,7,9.2,"76,386",HIV diagnoses
2011,"Moore County, NC",37125,9,11.9,"75,538",HIV diagnoses
2010,"Moore County, NC",37125,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Moore County, NC",37125,6,8.2,"73,293",HIV diagnoses
2008,"Moore County, NC",37125,11,15.2,"72,373",HIV diagnoses
2018,"Mora County, NM",35033,0,0,"3,955",HIV diagnoses
2017,"Mora County, NM",35033,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Mora County, NM",35033,0,0,"3,950",HIV diagnoses
2015,"Mora County, NM",35033,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Mora County, NM",35033,0,0,"4,018",HIV diagnoses
2013,"Mora County, NM",35033,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Mora County, NM",35033,0,0,"4,033",HIV diagnoses
2011,"Mora County, NM",35033,0,0,"4,104",HIV diagnoses
2010,"Mora County, NM",35033,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Mora County, NM",35033,0,0,"4,260",HIV diagnoses
2008,"Mora County, NM",35033,0,0,"4,301",HIV diagnoses
2018,"Morehouse Parish, LA",22067,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Morehouse Parish, LA",22067,6,28.3,"21,164",HIV diagnoses
2016,"Morehouse Parish, LA",22067,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Morehouse Parish, LA",22067,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Morehouse Parish, LA",22067,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Morehouse Parish, LA",22067,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Morehouse Parish, LA",22067,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Morehouse Parish, LA",22067,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Morehouse Parish, LA",22067,8,35,"22,872",HIV diagnoses
2009,"Morehouse Parish, LA",22067,6,25.9,"23,175",HIV diagnoses
2008,"Morehouse Parish, LA",22067,5,21.4,"23,318",HIV diagnoses
2018,"Morgan County, TN",47129,0,0,"18,738",HIV diagnoses
2017,"Morgan County, TN",47129,0,0,"18,628",HIV diagnoses
2016,"Morgan County, TN",47129,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Morgan County, TN",47129,0,0,"18,546",HIV diagnoses
2014,"Morgan County, TN",47129,0,0,"18,733",HIV diagnoses
2013,"Morgan County, TN",47129,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Morgan County, TN",47129,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Morgan County, TN",47129,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Morgan County, TN",47129,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Morgan County, TN",47129,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Morgan County, TN",47129,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Morgan County, MO",29141,0,0,"17,011",HIV diagnoses
2017,"Morgan County, MO",29141,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Morgan County, MO",29141,0,0,"16,832",HIV diagnoses
2015,"Morgan County, MO",29141,0,0,"16,839",HIV diagnoses
2014,"Morgan County, MO",29141,0,0,"16,863",HIV diagnoses
2013,"Morgan County, MO",29141,0,0,"16,953",HIV diagnoses
2012,"Morgan County, MO",29141,0,0,"16,942",HIV diagnoses
2011,"Morgan County, MO",29141,0,0,"17,180",HIV diagnoses
2010,"Morgan County, MO",29141,0,0,"17,310",HIV diagnoses
2009,"Morgan County, MO",29141,0,0,"17,207",HIV diagnoses
2008,"Morgan County, MO",29141,0,0,"17,400",HIV diagnoses
2018,"Morgan County, UT",49029,0,0,"9,103",HIV diagnoses
2017,"Morgan County, UT",49029,0,0,"8,910",HIV diagnoses
2016,"Morgan County, UT",49029,0,0,"8,516",HIV diagnoses
2015,"Morgan County, UT",49029,0,0,"8,242",HIV diagnoses
2014,"Morgan County, UT",49029,0,0,"7,922",HIV diagnoses
2013,"Morgan County, UT",49029,0,0,"7,634",HIV diagnoses
2012,"Morgan County, UT",49029,0,0,"7,366",HIV diagnoses
2011,"Morgan County, UT",49029,0,0,"7,174",HIV diagnoses
2010,"Morgan County, UT",49029,0,0,"7,079",HIV diagnoses
2009,"Morgan County, UT",49029,0,0,"6,742",HIV diagnoses
2008,"Morgan County, UT",49029,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Morgan County, IN",18109,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Morgan County, IN",18109,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Morgan County, IN",18109,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Morgan County, IN",18109,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Morgan County, IN",18109,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Morgan County, IN",18109,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Morgan County, IN",18109,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Morgan County, IN",18109,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Morgan County, IN",18109,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Morgan County, IN",18109,5,8.5,"58,733",HIV diagnoses
2008,"Morgan County, IN",18109,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Morgan County, IL",17137,0,0,"29,519",HIV diagnoses
2017,"Morgan County, IL",17137,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Morgan County, IL",17137,0,0,"29,895",HIV diagnoses
2015,"Morgan County, IL",17137,0,0,"29,799",HIV diagnoses
2014,"Morgan County, IL",17137,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Morgan County, IL",17137,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Morgan County, IL",17137,0,0,"30,235",HIV diagnoses
2011,"Morgan County, IL",17137,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Morgan County, IL",17137,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Morgan County, IL",17137,5,16.8,"29,738",HIV diagnoses
2008,"Morgan County, IL",17137,5,16.7,"29,986",HIV diagnoses
2018,"Morgan County, OH",39115,0,0,"12,498",HIV diagnoses
2017,"Morgan County, OH",39115,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Morgan County, OH",39115,0,0,"12,591",HIV diagnoses
2015,"Morgan County, OH",39115,0,0,"12,551",HIV diagnoses
2014,"Morgan County, OH",39115,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Morgan County, OH",39115,0,0,"12,602",HIV diagnoses
2012,"Morgan County, OH",39115,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Morgan County, OH",39115,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Morgan County, OH",39115,0,0,"12,614",HIV diagnoses
2009,"Morgan County, OH",39115,0,0,"11,978",HIV diagnoses
2008,"Morgan County, OH",39115,0,0,"12,038",HIV diagnoses
2018,"Morgan County, WV",54065,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Morgan County, WV",54065,0,0,"15,538",HIV diagnoses
2016,"Morgan County, WV",54065,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Morgan County, WV",54065,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Morgan County, WV",54065,0,0,"15,271",HIV diagnoses
2013,"Morgan County, WV",54065,0,0,"15,166",HIV diagnoses
2012,"Morgan County, WV",54065,0,0,"15,090",HIV diagnoses
2011,"Morgan County, WV",54065,0,0,"15,090",HIV diagnoses
2010,"Morgan County, WV",54065,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Morgan County, WV",54065,0,0,"14,037",HIV diagnoses
2008,"Morgan County, WV",54065,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Morgan County, KY",21175,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Morgan County, KY",21175,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Morgan County, KY",21175,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Morgan County, KY",21175,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Morgan County, KY",21175,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Morgan County, KY",21175,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Morgan County, KY",21175,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Morgan County, KY",21175,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Morgan County, KY",21175,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Morgan County, KY",21175,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Morgan County, KY",21175,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Morgan County, GA",13211,0,0,"15,868",HIV diagnoses
2017,"Morgan County, GA",13211,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Morgan County, GA",13211,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Morgan County, GA",13211,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Morgan County, GA",13211,Data suppressed,Data suppressed,NA,HIV diagnoses
2013,"Morgan County, GA",13211,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Morgan County, GA",13211,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Morgan County, GA",13211,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Morgan County, GA",13211,0,0,"14,814",HIV diagnoses
2009,"Morgan County, GA",13211,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Morgan County, GA",13211,Data suppressed,Data suppressed,NA,HIV diagnoses
2018,"Morgan County, CO",8087,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Morgan County, CO",8087,Data suppressed,Data suppressed,NA,HIV diagnoses
2016,"Morgan County, CO",8087,Data suppressed,Data suppressed,NA,HIV diagnoses
2015,"Morgan County, CO",8087,Data suppressed,Data suppressed,NA,HIV diagnoses
2014,"Morgan County, CO",8087,0,0,"22,703",HIV diagnoses
2013,"Morgan County, CO",8087,0,0,"22,733",HIV diagnoses
2012,"Morgan County, CO",8087,0,0,"22,643",HIV diagnoses
2011,"Morgan County, CO",8087,Data suppressed,Data suppressed,NA,HIV diagnoses
2010,"Morgan County, CO",8087,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Morgan County, CO",8087,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Morgan County, CO",8087,0,0,"21,911",HIV diagnoses
2018,"Morgan County, AL",1103,Data suppressed,Data suppressed,NA,HIV diagnoses
2017,"Morgan County, AL",1103,6,6,"99,548",HIV diagnoses
2016,"Morgan County, AL",1103,7,7,"99,636",HIV diagnoses
2015,"Morgan County, AL",1103,9,9,"99,960",HIV diagnoses
2014,"Morgan County, AL",1103,8,8,"99,893",HIV diagnoses
2013,"Morgan County, AL",1103,Data suppressed,Data suppressed,NA,HIV diagnoses
2012,"Morgan County, AL",1103,Data suppressed,Data suppressed,NA,HIV diagnoses
2011,"Morgan County, AL",1103,10,10,"99,627",HIV diagnoses
2010,"Morgan County, AL",1103,Data suppressed,Data suppressed,NA,HIV diagnoses
2009,"Morgan County, AL",1103,Data suppressed,Data suppressed,NA,HIV diagnoses
2008,"Morgan County, AL",1103,6,6.3,"95,812",HIV diagnoses
2018,"Morrill County, NE",31123,0,0,"3,935",HIV diagnoses
