Full Name,Geography Type,Measure,Year,Diagnosis,Rate,PrEP Users,PrEP Rates,Male PrEP Users,Male PrEP Rate,Female PrEP Users,Female PrEP Rate,Age LE 24 PrEP Users,Age LE 24 PrEP Rate,Age 25-34 PrEP Users,Age 25-34 PrEP Rate,Age 35-44 PrEP Users,Age 35-44 PrEP Rate,Age 45-54 PrEP Users,Age 45-54 PrEP Rate,Age 55+ PrEP Users,Age 55+ PrEP Rate
Nebraska,State,New Diagnosis,2018,79,5,956,38,900,72,56,4,103,23,367,84,253,63,183,46,55,7
Nevada,State,New Diagnosis,2018,508,20,402,34,384,67,18,3,63,30,149,91,92,61,61,31,43,10
New Hampshire,State,New Diagnosis,2018,36,3.1,3803,50,3539,96,264,7,618,45,1514,130,859,74,538,42,309,12
New Jersey,State,New Diagnosis,2018,1044,13.9,514,30,487,57,27,3,83,24,214,78,107,43,55,23,61,10
New Mexico,State,New Diagnosis,2018,121,6.9,21417,127,19814,244,1602,18,2668,88,9405,322,5139,209,2951,111,1528,27
New York,State,New Diagnosis,2018,2470,14.9,2515,29,2359,57,156,3,319,19,972,72,569,44,438,31,242,8
North Carolina,State,New Diagnosis,2018,1200,13.7,115,18,111,34,4,1,12,9,46,40,38,42,15,18,6,3
North Dakota,State,New Diagnosis,2018,36,5.8,4878,50,4559,96,319,6,715,39,2105,138,1116,81,667,44,333,9
Ohio,State,New Diagnosis,2018,984,10,748,23,712,45,36,2,84,13,307,57,187,39,127,27,52,5
Oklahoma,State,New Diagnosis,2018,234,7.2,1592,45,1467,85,125,7,224,36,622,107,398,73,238,46,134,11
Oregon,State,New Diagnosis,2018,230,6.5,4964,45,4473,84,491,9,900,46,1978,117,1064,72,689,40,397,10
Pennsylvania,State,New Diagnosis,2018,1002,9.2,726,80,689,157,37,8,124,70,286,196,150,122,112,79,56,17
Rhode Island,State,New Diagnosis,2018,76,8.3,901,21,819,40,82,4,99,12,364,56,233,38,146,23,66,4
South Carolina,State,New Diagnosis,2018,719,16.8,108,15,100,28,8,2,9,6,46,39,37,37,16,16,2,1
South Dakota,State,New Diagnosis,2018,28,3.9,1809,32,1669,61,140,5,241,23,698,77,424,50,332,37,136,7
Tennessee,State,New Diagnosis,2018,759,13.3,9442,41,8904,78,538,5,1223,25,3682,89,2281,59,1575,45,784,12
Texas,State,New Diagnosis,2018,4483,19.2,812,33,785,64,27,2,79,13,358,79,223,52,101,32,59,9
Utah,State,New Diagnosis,2018,121,4.9,124,23,116,44,8,3,26,26,38,51,26,38,14,17,22,10
Vermont,State,New Diagnosis,2018,18,3.3,2401,34,2279,65,121,3,278,20,1068,91,518,47,374,33,181,8
Virginia,State,New Diagnosis,2018,867,12.1,4057,65,3846,124,211,7,481,43,1555,141,982,100,712,75,382,18
Washington,State,New Diagnosis,2018,503,8,2296,386,2178,779,117,37,162,160,991,610,589,577,373,489,207,135
West Virginia,State,New Diagnosis,2018,85,5.5,324,21,303,40,21,3,43,16,124,59,89,41,48,20,23,4
Wisconsin,State,New Diagnosis,2018,210,4.3,1099,22,1035,43,64,3,174,19,393,54,275,40,183,24,81,5
Wyoming,State,New Diagnosis,2018,12,2.5,47,10,41,17,6,3,7,8,15,19,15,21,3,5,7,4
